price,latitude,longitude,bedrooms,bathrooms,land_size,building_size,carports,maid_bedrooms,maid_bathrooms,floors,building_age,property_condition,garages,furnishing
690000000.0,-6.2845395,106.973377,1.0,1.0,94.0,75.0,1.0,0.0,0.0,1.0,1.0,1,1.0,2
750000000.0,-6.2845395,106.973377,2.0,1.0,78.0,54.0,1.0,0.0,0.0,1.0,1.0,2,0.0,0
764000000.0,-6.2845395,106.973377,3.0,3.0,78.0,83.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
764000000.0,-6.2845395,106.973377,3.0,3.0,78.0,83.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
42000000.0,-6.2845395,106.973377,2.0,2.0,60.0,40.0,1.0,0.0,0.0,1.0,1.0,2,0.0,0
1400000000.0,-6.2845395,106.973377,3.0,3.0,77.0,150.0,1.0,0.0,0.0,3.0,0.0,1,0.0,0
500000000.0,-6.243801,107.1036725,2.0,2.0,60.0,48.0,1.0,0.0,0.0,2.0,0.0,2,1.0,0
342000000.0,-6.243801,107.1036725,2.0,1.0,66.0,63.0,1.0,0.0,0.0,1.0,0.0,2,2.0,0
764000000.0,-6.243801,107.1036725,3.0,3.0,78.0,83.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
764000000.0,-6.243801,107.1036725,3.0,3.0,78.0,83.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
500000000.0,-6.3551787,106.8646203,2.0,2.0,60.0,48.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0
1150000000.0,-6.3551787,106.8646203,2.0,1.0,90.0,70.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
599000000.0,-6.3551787,106.8646203,2.0,1.0,72.0,60.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0
1560000000.0,-6.3551787,106.8646203,3.0,3.0,121.0,105.0,2.0,0.0,0.0,2.0,0.0,2,2.0,1
1180000000.0,-6.3551787,106.8646203,3.0,3.0,84.0,77.0,2.0,0.0,0.0,2.0,2.0,2,0.0,0
1180000000.0,-6.3551787,106.8646203,3.0,2.0,84.0,77.0,2.0,1.0,1.0,2.0,0.0,2,0.0,0
990000000.0,-6.3551787,106.8646203,3.0,2.0,95.0,60.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
800000000.0,-6.3551787,106.8646203,3.0,2.0,84.0,91.0,1.0,0.0,0.0,2.0,0.0,2,0.0,0
718000000.0,-6.3551787,106.8646203,2.0,1.0,72.0,40.0,2.0,0.0,0.0,1.0,0.0,2,1.0,2
764000000.0,-6.3551787,106.8646203,3.0,3.0,78.0,83.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
1200000000.0,-6.3551787,106.8646203,4.0,3.0,86.0,115.0,1.0,0.0,0.0,2.0,0.0,2,0.0,0
1310000000.0,-6.3551787,106.8646203,3.0,3.0,86.0,115.0,1.0,0.0,0.0,2.0,0.0,2,1.0,0
680000000.0,-6.292665,107.0274099,2.0,1.0,72.0,36.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
680000000.0,-6.292665,107.0274099,2.0,1.0,72.0,36.0,0.0,0.0,0.0,1.0,0.0,2,1.0,0
1200000000.0,-6.292665,107.0274099,3.0,2.0,165.0,90.0,0.0,0.0,0.0,1.0,0.0,2,1.0,0
680000000.0,-6.292665,107.0274099,2.0,1.0,72.0,36.0,0.0,0.0,0.0,1.0,0.0,2,1.0,0
680000000.0,-6.292665,107.0274099,2.0,1.0,72.0,36.0,0.0,0.0,0.0,1.0,0.0,2,1.0,0
1200000000.0,-6.292665,107.0274099,3.0,2.0,165.0,90.0,0.0,0.0,0.0,1.0,0.0,2,1.0,0
680000000.0,-6.292665,107.0274099,2.0,1.0,72.0,36.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
1200000000.0,-6.292665,107.0274099,3.0,2.0,165.0,90.0,1.0,0.0,0.0,1.0,0.0,2,1.0,0
390000000.0,-6.292665,107.0274099,2.0,1.0,60.0,36.0,1.0,0.0,0.0,1.0,0.0,1,1.0,0
455000000.0,-6.292665,107.0274099,2.0,1.0,70.0,41.0,1.0,0.0,0.0,1.0,0.0,2,0.0,0
1010000000.0,-6.292665,107.0274099,3.0,2.0,125.0,65.0,1.0,0.0,0.0,2.0,0.0,2,0.0,0
690000000.0,-6.292665,107.0274099,2.0,1.0,96.0,48.0,1.0,0.0,0.0,1.0,0.0,2,0.0,0
988000000.0,-6.292665,107.0274099,3.0,2.0,72.0,60.0,1.0,0.0,0.0,2.0,0.0,2,1.0,0
465000000.0,-6.292665,107.0274099,2.0,1.0,60.0,55.0,1.0,0.0,0.0,1.0,3.0,2,1.0,0
480000000.0,-6.292665,107.0274099,2.0,2.0,60.0,55.0,1.0,0.0,0.0,2.0,3.0,2,1.0,0
625000000.0,-6.292665,107.0274099,2.0,1.0,72.0,48.0,1.0,0.0,0.0,1.0,0.0,2,0.0,0
3000000000.0,-6.292665,107.0274099,4.0,4.0,210.0,310.0,1.0,1.0,1.0,2.0,7.0,1,0.0,0
1180000000.0,-6.363929,106.9250756,3.0,2.0,84.0,77.0,0.0,0.0,0.0,2.0,1.0,1,0.0,0
1050000000.0,-6.363929,106.9250756,2.0,1.0,90.0,70.0,1.0,0.0,0.0,1.0,15.0,1,1.0,2
1080000000.0,-6.363929,106.9250756,2.0,2.0,105.0,90.0,1.0,1.0,0.0,2.0,0.0,1,0.0,0
1150000000.0,-6.363929,106.9250756,2.0,1.0,90.0,70.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
1150000000.0,-6.363929,106.9250756,2.0,1.0,90.0,70.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
1150000000.0,-6.363929,106.9250756,2.0,1.0,90.0,70.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
1150000000.0,-6.363929,106.9250756,2.0,1.0,90.0,70.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0
1210000000.0,-6.363929,106.9250756,3.0,3.0,84.0,77.0,1.0,0.0,0.0,1.0,0.0,2,0.0,0
1180000000.0,-6.363929,106.9250756,3.0,3.0,84.0,77.0,1.0,0.0,0.0,2.0,1.0,2,0.0,2
1150000000.0,-6.363929,106.9250756,2.0,1.0,90.0,70.0,2.0,0.0,0.0,1.0,13.0,1,0.0,2
968000000.0,-6.363929,106.9250756,2.0,1.0,89.0,52.0,1.0,0.0,0.0,1.0,0.0,2,0.0,1
1650000000.0,-6.363929,106.9250756,4.0,3.0,165.0,180.0,2.0,1.0,1.0,2.0,7.0,2,2.0,1
1180000000.0,-6.363929,106.9250756,3.0,3.0,84.0,77.0,2.0,0.0,0.0,2.0,3.0,2,0.0,0
720000000.0,-6.363929,106.9250756,2.0,1.0,80.0,55.0,1.0,0.0,0.0,1.0,0.0,2,0.0,1
1300000000.0,-6.363929,106.9250756,4.0,3.0,84.0,105.0,2.0,0.0,0.0,2.0,0.0,2,1.0,1
1190000000.0,-6.363929,106.9250756,3.0,2.0,101.0,84.0,1.0,0.0,0.0,2.0,0.0,2,0.0,0
1180000000.0,-6.363929,106.9250756,3.0,2.0,84.0,77.0,1.0,1.0,1.0,2.0,0.0,2,1.0,1
1300000000.0,-6.363929,106.9250756,3.0,3.0,87.0,77.0,1.0,0.0,0.0,2.0,0.0,2,0.0,1
600000000.0,-6.363929,106.9250756,2.0,1.0,80.0,55.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1
500000000.0,-6.363929,106.9250756,2.0,1.0,70.0,45.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0
1100000000.0,-6.363929,106.9250756,3.0,3.0,82.0,72.0,0.0,0.0,0.0,2.0,0.0,2,0.0,1
1280000000.0,-6.30538,106.9294595,3.0,3.0,92.0,130.0,1.0,1.0,0.0,2.0,4.0,1,1.0,0
3700000000.0,-6.30538,106.9294595,3.0,4.0,216.0,300.0,3.0,1.0,1.0,3.0,10.0,2,2.0,1
1070000000.0,-6.30538,106.9294595,4.0,2.0,95.0,88.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1
476000000.0,-6.30538,106.9294595,2.0,1.0,52.0,36.0,1.0,0.0,0.0,1.0,0.0,2,0.0,0
968000000.0,-6.30538,106.9294595,3.0,3.0,70.0,120.0,2.0,0.0,0.0,2.0,0.0,2,2.0,1
884000000.0,-6.30538,106.9294595,3.0,2.0,70.0,65.0,1.0,0.0,0.0,1.0,0.0,2,1.0,1
1180000000.0,-6.30538,106.9294595,4.0,3.0,95.0,140.0,2.0,0.0,0.0,2.0,0.0,2,2.0,1
4040000000.0,-6.30538,106.9294595,5.0,4.0,183.0,136.0,2.0,1.0,1.0,2.0,0.0,2,0.0,1
1100000000.0,-6.30538,106.9294595,3.0,3.0,180.0,172.0,1.0,0.0,0.0,1.0,12.0,1,1.0,1
2250000000.0,-6.30538,106.9294595,3.0,2.0,175.0,250.0,1.0,0.0,0.0,2.0,18.0,0,1.0,1
1800000000.0,-6.30538,106.9294595,3.0,2.0,115.0,113.0,1.0,0.0,0.0,1.0,0.0,1,1.0,1
800000000.0,-6.30538,106.9294595,2.0,1.0,97.0,76.0,0.0,0.0,0.0,1.0,4.0,1,0.0,0
920000000.0,-6.2717463,106.930825,3.0,2.0,70.0,85.0,2.0,1.0,1.0,2.0,0.0,2,0.0,1
1970000000.0,-6.2717463,106.930825,4.0,4.0,91.0,165.0,2.0,0.0,0.0,3.0,0.0,2,0.0,0
1990000000.0,-6.2717463,106.930825,3.0,3.0,178.0,110.0,0.0,1.0,0.0,1.0,5.0,2,0.0,0
3950000000.0,-6.2717463,106.930825,4.0,2.0,760.0,350.0,0.0,1.0,1.0,1.0,37.0,0,0.0,1
1250000000.0,-6.2717463,106.930825,4.0,3.0,154.0,150.0,1.0,0.0,0.0,1.0,5.0,1,0.0,1
1110000000.0,-6.2717463,106.930825,3.0,3.0,75.0,80.0,2.0,0.0,0.0,2.0,0.0,2,0.0,0
1870000000.0,-6.2717463,106.930825,3.0,4.0,91.0,165.0,2.0,1.0,0.0,3.0,0.0,2,0.0,1
1590000000.0,-6.2650605,106.9740988,3.0,3.0,118.0,156.0,2.0,1.0,1.0,2.0,0.0,1,0.0,1
1620000000.0,-6.2650605,106.9740988,3.0,3.0,118.0,156.0,2.0,1.0,1.0,2.0,0.0,1,0.0,2
